Loan number,int_rate,loan_amnt,term (months),installment,dti,delinq_2yrs,annual_inc,grade,emp_title,emp_length,home_ownership,verification_status,issue_d
1,0.1472,12000,36,414,11.61,4,136000,C,,2 years,RENT,Not Verified,07/01/2010
2,0.1171,6000,36,198,6.68,0,37000,B,,1 year,RENT,Not Verified,12/01/2011
3,0.079,16100,36,504,10.59,0,75000,A,,7 years,MORTGAGE,Source Verified,10/01/2011
4,0.1299,6000,36,202,18.94,0,32000,C,,< 1 year,RENT,Source Verified,08/01/2011
5,0.1596,12000,60,292,22.23,0,48744,C,,5 years,RENT,Verified,11/01/2011
6,0.1496,15000,36,520,13.81,0,67000,D,,2 years,RENT,Not Verified,11/01/2009
7,0.0654,3000,60,59,6.34,0,50000,A,,7 years,OWN,Source Verified,11/01/2010
8,0.1,6000,36,194,7.28,0,85000,B,,4 years,RENT,Verified,03/01/2011
9,0.1269,29000,36,973,21.77,0,81300,B,,3 years,RENT,Verified,10/01/2011
10,0.1398,10000,36,342,16.66,0,38400,C,,n/a,MORTGAGE,Not Verified,06/01/2010
11,0.1385,3750,36,128,20.16,0,27804,C,,2 years,RENT,Not Verified,04/01/2010
12,0.0599,3000,36,91,3.97,0,16620,A,,n/a,OWN,Verified,09/01/2011
13,0.1689,10000,36,356,12.73,2,56000,D,,10+ years,MORTGAGE,Source Verified,05/01/2011
14,0.1864,10000,60,257,12.75,0,40000,E,,5 years,OWN,Verified,12/01/2011
15,0.1758,30000,36,"1,078",5.99,0,200000,D,,6 years,MORTGAGE,Verified,10/01/2011
16,0.0849,3850,36,122,16.85,0,48500,A,,5 years,RENT,Not Verified,07/01/2011
17,0.1349,25000,60,575,22.07,0,49200,C,,10+ years,OWN,Verified,08/01/2011
18,0.0603,13700,36,417,25.13,0,50000,A,,10+ years,MORTGAGE,Verified,11/01/2011
19,0.1454,6000,36,207,23.24,0,41196,D,,2 years,RENT,Verified,01/01/2011
20,0.1523,25000,60,598,24.37,0,84000,C,,10+ years,MORTGAGE,Verified,07/01/2011
21,0.1385,15000,36,512,15.68,1,68553,C,,1 year,MORTGAGE,Not Verified,05/01/2010
22,0.1807,6000,36,217,5.67,0,21600,D,,< 1 year,RENT,Not Verified,06/01/2011
23,0.1186,6000,60,133,8.56,0,38973,B,,5 years,MORTGAGE,Not Verified,09/01/2010
24,0.157,6000,60,145,22.96,0,60000,D,,10+ years,MORTGAGE,Verified,05/01/2010
25,0.1357,11700,36,397,22.66,0,55600,C,,2 years,MORTGAGE,Source Verified,09/01/2009
26,0.2128,30000,60,816,14.84,0,100000,F,,6 years,MORTGAGE,Source Verified,11/01/2011
27,0.1825,18000,60,460,14.6,1,78000,D,,10+ years,MORTGAGE,Verified,11/01/2011
28,0.0603,17000,36,517,15.58,0,50000,A,,3 years,MORTGAGE,Not Verified,11/01/2011
29,0.0737,1950,36,61,14.49,0,38000,A,,4 years,MORTGAGE,Not Verified,02/01/2009
